path,bytes,sha256,source_url,r2_key
publications/E11-LandRentTaxation&amp;PublicPolicy-SourcesUrbanLandRent.CV.pdf,236,9448f8a1159c9b14e3e1b9d8eab1a6ddf88d26e1f888a34cef430c756e4e6e1e,https://masongaffney.org/publications/E11-LandRentTaxation&amp;PublicPolicy-SourcesUrbanLandRent.CV.pdf,gaffney/publications/E11-LandRentTaxation&amp;PublicPolicy-SourcesUrbanLandRent.CV.pdf
publications/E12-LandRentTaxation&amp;PublicPolicy-TaxationUrbanLandRent.CV.pdf,236,9448f8a1159c9b14e3e1b9d8eab1a6ddf88d26e1f888a34cef430c756e4e6e1e,https://masongaffney.org/publications/E12-LandRentTaxation&amp;PublicPolicy-TaxationUrbanLandRent.CV.pdf,gaffney/publications/E12-LandRentTaxation&amp;PublicPolicy-TaxationUrbanLandRent.CV.pdf
publications/E13Changes_in_Land_Policy.CV.pdf,365238,7d73669c9ddb2e1cb92c0054ee5b043282a236a500986648187b669fd03a3c62,https://masongaffney.org/publications/E13Changes_in_Land_Policy.CV.pdf,gaffney/publications/E13Changes_in_Land_Policy.CV.pdf
publications/E14Synergistic_City.CV.pdf,491670,d2bec86af85028cc0bdd015f5235fef15eb88f47a3800c365e5169c9abc4fec0,https://masongaffney.org/publications/E14Synergistic_City.CV.pdf,gaffney/publications/E14Synergistic_City.CV.pdf
publications/E15-ReviewHeilbrunRealEstateTaxes&amp;UrbanHousing.CV.pdf,236,9448f8a1159c9b14e3e1b9d8eab1a6ddf88d26e1f888a34cef430c756e4e6e1e,https://masongaffney.org/publications/E15-ReviewHeilbrunRealEstateTaxes&amp;UrbanHousing.CV.pdf,gaffney/publications/E15-ReviewHeilbrunRealEstateTaxes&amp;UrbanHousing.CV.pdf
publications/E1Urban_Expansion_Stop.CV.pdf,479230,8175561e7e9ee3380162af83336df9d4769e165d53c5449d8d1824c3f6fb7170,https://masongaffney.org/publications/E1Urban_Expansion_Stop.CV.pdf,gaffney/publications/E1Urban_Expansion_Stop.CV.pdf
publications/E22-LandasanElementofHousingCosts.CV.pdf,634884,31de2aff830eb679c2113cc4ee2a6dbd5cf29e990cae0f7e2017a1e893f3b9ec,https://masongaffney.org/publications/E22-LandasanElementofHousingCosts.CV.pdf,gaffney/publications/E22-LandasanElementofHousingCosts.CV.pdf
publications/E37Ground_Rent_Urban_Decay_&amp;_Revival.CV.pdf,236,9448f8a1159c9b14e3e1b9d8eab1a6ddf88d26e1f888a34cef430c756e4e6e1e,https://masongaffney.org/publications/E37Ground_Rent_Urban_Decay_&amp;_Revival.CV.pdf,gaffney/publications/E37Ground_Rent_Urban_Decay_&amp;_Revival.CV.pdf
publications/E3Containment_policies.CV.pdf,212577,4cd822e259815dda934ee21b323cd8f2f28023691056cb14ba9885dbb21ae520,https://masongaffney.org/publications/E3Containment_policies.CV.pdf,gaffney/publications/E3Containment_policies.CV.pdf
publications/E4-TaxReformtoReleaseLand.CV.pdf,383852,b83b999930b12dcae786bfb27eeef295d707af95e13d4ef409869ed57c3c8b13,https://masongaffney.org/publications/E4-TaxReformtoReleaseLand.CV.pdf,gaffney/publications/E4-TaxReformtoReleaseLand.CV.pdf
publications/E5-WhenToBuildWhat-LocalServicePricingPolicies.CV.pdf,692827,bcad11682848e5ee6089bce081f4e4e8ded53eb8a31d4bbf6342dd4252627aee,https://masongaffney.org/publications/E5-WhenToBuildWhat-LocalServicePricingPolicies.CV.pdf,gaffney/publications/E5-WhenToBuildWhat-LocalServicePricingPolicies.CV.pdf
publications/E7Prop_taxes_&amp;_Urban_Renewal.CV.pdf,236,9448f8a1159c9b14e3e1b9d8eab1a6ddf88d26e1f888a34cef430c756e4e6e1e,https://masongaffney.org/publications/E7Prop_taxes_&amp;_Urban_Renewal.CV.pdf,gaffney/publications/E7Prop_taxes_&amp;_Urban_Renewal.CV.pdf
publications/E9-TaxToolforMeetingUrbanFiscalCrisis.CV.pdf,89892,4adb40ddf5392a4fbb6ee85d56d7085c6e972551eb6ad1f7519bc21945f6216e,https://masongaffney.org/publications/E9-TaxToolforMeetingUrbanFiscalCrisis.CV.pdf,gaffney/publications/E9-TaxToolforMeetingUrbanFiscalCrisis.CV.pdf
publications/F2QWelfareEconomics_and_Environmental_Quality.CV.pdf,292444,9f57f5914e6e1e7d27c62580fc966517c5ccb2a9566bb8c0fcd95ec5d8a16441,https://masongaffney.org/publications/F2QWelfareEconomics_and_Environmental_Quality.CV.pdf,gaffney/publications/F2QWelfareEconomics_and_Environmental_Quality.CV.pdf
publications/F7Nonpoint_Pollution.CV.pdf,332749,465fafb301c1aa149bad28a39c0cc81d149afb8ead007dd21ec66522a2659a40,https://masongaffney.org/publications/F7Nonpoint_Pollution.CV.pdf,gaffney/publications/F7Nonpoint_Pollution.CV.pdf
publications/F8-NonpointPollution.CV.CV.pdf,372411,d79efb4404f1f3fcce4855f8785198f578fb4825cb5537bbbb60e0e3a5e617ba,https://masongaffney.org/publications/F8-NonpointPollution.CV.CV.pdf,gaffney/publications/F8-NonpointPollution.CV.CV.pdf
publications/G13Partiality_of_Indexing_Capital_Gains-Original.pdf,62612,9e4f717d3b0931e063b8ddb33c1705a50a708f085c364acb68b771c039642484,https://masongaffney.org/publications/G13Partiality_of_Indexing_Capital_Gains-Original.pdf,gaffney/publications/G13Partiality_of_Indexing_Capital_Gains-Original.pdf
publications/G17Property_Tax_Progressive_Tax.CV.pdf,222743,daf59e302e58198f71e243a0a22026572a6c970b5f7eb8baaff0e9ce1c2b8f3b,https://masongaffney.org/publications/G17Property_Tax_Progressive_Tax.CV.pdf,gaffney/publications/G17Property_Tax_Progressive_Tax.CV.pdf
publications/G18What_is_Prop_Tax_Reform.CV.pdf,202943,99c167be33a4593ae77d06022fead16d3c2fdb3907ed6f5cc9f4ce0474cc9b58,https://masongaffney.org/publications/G18What_is_Prop_Tax_Reform.CV.pdf,gaffney/publications/G18What_is_Prop_Tax_Reform.CV.pdf
publications/G19Many_Faces_of_Site_Value_Taxation.CV.pdf,268416,f3dd8d0ec2d3314ede8662157ac443e735ad330f97a726bc225187fa56cafec1,https://masongaffney.org/publications/G19Many_Faces_of_Site_Value_Taxation.CV.pdf,gaffney/publications/G19Many_Faces_of_Site_Value_Taxation.CV.pdf
